year,sem,division,dept,num,course_name,course_level,hrs_per_week,interest_in_student_learning,clear_course_requirements,clear_learning_objectives,provides_feedback,demonstrate_importance_of_subject_matter,explains_subject_matter,respect_for_students,overall_teaching_rate,overall_course_rate
2020,Spring,Heinz College,AEM,93717,WRTG CREAT INDUS,Graduate,5.71,4.00,3.94,4.12,3.59,4.06,4.00,4.29,3.94,3.12
2020,Fall,Heinz College,AEM,93717,WRTG CREAT INDUS,Graduate,8.00,4.40,4.07,4.53,4.40,4.53,4.27,4.33,4.00,4.13
2020,Spring,Heinz College,AEM,93732,DB THRY PRC CRTV ENT,Graduate,9.23,4.68,4.73,4.77,4.50,4.73,4.73,4.86,4.77,4.68
2020,Spring,Heinz College,AEM,93804,ARTS IN EDUCATION,Graduate,6.80,4.00,4.40,4.40,4.40,4.60,4.40,4.60,4.20,4.00
2020,Spring,Heinz College,AEM,93807,MUSEUM OPERATIONS,Graduate,7.00,4.92,4.67,4.67,4.67,4.75,4.50,5.00,4.50,4.17
2020,Fall,Heinz College,AEM,93807,MUSEUM OPERATIONS,Graduate,7.40,5.00,5.00,4.93,5.00,5.00,5.00,5.00,4.93,4.93
2020,Fall,Heinz College,AEM,93811,PRD PERF ART SEASON,Graduate,7.00,4.95,4.10,4.57,4.62,4.90,4.52,5.00,4.57,4.67
2020,Spring,Heinz College,AEM,93812,PRES PERF ART & FEST,Graduate,6.75,3.67,2.92,3.50,3.67,4.25,4.00,4.83,3.42,3.33
2020,Spring,Heinz College,AEM,93815,AUD ENGAGEMNT & PART,Graduate,5.79,4.84,3.74,4.58,4.32,4.84,4.68,4.89,4.74,4.63
2020,Spring,Heinz College,AEM,93821,EXT REL: ARTS MKT PR,Graduate,8.15,4.59,3.56,4.07,3.85,4.67,4.22,4.74,4.37,4.11
2020,Spring,Heinz College,AEM,93826,EXT REL: FUN IND GIV,Graduate,5.78,4.22,3.78,3.87,3.52,4.26,3.87,4.61,3.74,3.65
2020,Spring,Heinz College,AEM,93827,EXT REL: FUN INS GIV,Graduate,6.65,4.90,4.75,4.85,4.55,4.65,4.65,4.80,4.55,4.65
2020,Fall,Heinz College,AEM,93832,ARTS & COMM DEV,Graduate,8.60,5.00,4.87,4.87,4.73,4.87,4.80,4.93,4.93,4.87
2020,Spring,Heinz College,AEM,93844,LIVE MUS TOUR REV ST,Graduate,10.14,4.29,3.43,4.00,3.14,3.86,3.86,5.00,3.86,3.14
2020,Spring,Heinz College,AEM,93846,CULTURAL PLCY ADVCY,Graduate,10.25,5.00,5.00,5.00,5.00,5.00,4.75,5.00,4.75,4.75
